feature,display_name,feature_family,mean_abs_shap
cat_cust__shippingCountry_Country_E,Shipping country: Country E,shipping_country,0.2510098944723606
num_prod__variant_event_count,Variant exposure count (experimental),product_frequency_features,0.2246477508922224
num_prod__supplier_event_count,Supplier exposure count (experimental),product_frequency_features,0.11282173762593123
cat_prod__productType_productType_B,Product type: productType_B,product_type,0.10363883162140847
num_prod__price_rel_brand_median,Price relative to brand median,derived_price_features,0.10267000256180035
num_prod__discount_amount,Derived discount amount,derived_price_features,0.08763226720331586
num_prod__product_event_count,Parent-product exposure count (experimental),product_frequency_features,0.08556826612554633
num_cust__yearOfBirth,Customer birth year,birth_year_customer_demographic,0.07231914824618597
cat_prod__brandDesc_Brand_K,Brand: Brand_K,brand,0.051159262784644874
num_prod__avgGbpPrice,Product price,price_discount,0.04885249027101572
cat_prod__productType_productType_J,Product type: productType_J,product_type,0.04435595636428456
cat_prod__productType_Jeans,Product type: Jeans,product_type,0.04250224722531275
num_prod__price_rel_type_median,Price relative to product-type median,derived_price_features,0.04131984487226273
bin__isMale,Customer gender indicator,customer_binary_attributes,0.03856572676968499
num_prod__avgDiscountValue,Product discount value,price_discount,0.037110362325483946
cat_prod__brandDesc_Brand_B,Brand: Brand_B,brand,0.028379402966055567
cat_prod__productType_productType_H,Product type: productType_H,product_type,0.02681658423466106
cat_cust__shippingCountry_Country_G,Shipping country: Country G,shipping_country,0.021248349458261737
cat_cust__shippingCountry_Country_D,Shipping country: Country D,shipping_country,0.016948832388213306
cat_prod__productType_productType_I,Product type: productType_I,product_type,0.015289839056491837
cat_cust__shippingCountry_Country_H,Shipping country: Country H,shipping_country,0.014196679640005152
cat_cust__shippingCountry_Country_B,Shipping country: Country B,shipping_country,0.013760828994619077
cat_cust__shippingCountry_Country_F,Shipping country: Country F,shipping_country,0.010332925823219102
cat_prod__productType_productType_G,Product type: productType_G,product_type,0.008734816666845382
cat_prod__productType_productType_D,Product type: productType_D,product_type,0.008401537664031912
bin__premier,Premier membership,customer_binary_attributes,0.007934934290655019
cat_cust__shippingCountry_Country_A,Shipping country: Country A,shipping_country,0.006114281377271345
cat_prod__brandDesc_Brand_G,Brand: Brand_G,brand,0.005925156742423678
cat_prod__productType_productType_A,Product type: productType_A,product_type,0.004970437466222802
cat_cust__shippingCountry_Country_I,Shipping country: Country I,shipping_country,0.004226877154680869
cat_prod__brandDesc_Brand_J,Brand: Brand_J,brand,0.004150902746623615
cat_prod__brandDesc_Brand_F,Brand: Brand_F,brand,0.003620368582403728
cat_prod__brandDesc_Brand_A,Brand: Brand_A,brand,0.0031916683065154757
cat_prod__brandDesc_Brand_E,Brand: Brand_E,brand,0.0028524238040527053
cat_prod__brandDesc_Brand_C,Brand: Brand_C,brand,0.002221282442432221
cat_cust__shippingCountry_Country_C,Shipping country: Country C,shipping_country,0.0019034741202295208
cat_prod__productType_productType_E,Product type: productType_E,product_type,0.0018522939464770275
cat_prod__productType_productType_F,Product type: productType_F,product_type,0.001593527809636862
cat_prod__brandDesc_Pull&Bear,Brand: Pull&Bear,brand,0.001533880917831266
cat_prod__brandDesc_Brand_I,Brand: Brand_I,brand,0.001533807484494247
cat_prod__productType_productType_C,Product type: productType_C,product_type,0.0011249689263130675
cat_prod__brandDesc_Brand_D,Brand: Brand_D,brand,0.0010668871727922693
cat_prod__productType___MISSING__,Product profile unavailable,product_profile_missingness,0.0
cat_prod__brandDesc___MISSING__,Product profile unavailable,product_profile_missingness,0.0
