feature_family,mean_abs_shap,attribution_share
shipping_country,0.29303218273672116,0.2719106894704579
product_frequency_features,0.19801623714042363,0.1837434068310989
product_type,0.17932992393766145,0.16640398609181073
derived_price_features,0.16078588829062845,0.14919658767141322
brand,0.07238546906268922,0.0671679902755331
birth_year_customer_demographic,0.07231914824618597,0.06710644980317534
price_discount,0.06277178487678985,0.0582472517036617
customer_binary_attributes,0.03903741987954391,0.0362236381528491
product_profile_missingness,0.0,0.0
