feature_family,mean_abs_shap,attribution_share
shipping_country,0.29123968598755257,0.3127394710416099
derived_price_features,0.19608620492315532,0.21056160597853846
product_type,0.1843984725884679,0.19801106632378038
birth_year_customer_demographic,0.08258437791239658,0.08868089037057664
price_discount,0.08178752558819997,0.08782521311792992
brand,0.060167829260840015,0.06460951581152723
customer_binary_attributes,0.03498927261396525,0.03757223735603758
product_profile_missingness,0.0,0.0
